DIRECTORIOP6020     P6040     P5502     P6081     P6083     P6080     P1895     P1896     P1897     P1898     P1899     P1901     P1902     P1903     P1904     P1905     N_HIJOS   N_NIETOS  P1910     P1911     P1912     P1084     P1083S3
   6002225         2        59         3         3         2         6         8         8         8         8         8         8         7         0         1         7         1         0         2         5         5         1         1
   6002228         2        61         3         2         3         6        10         6         7         7         7         7         7         4         3        10         1         0         5         5         5         1         1
   6002238         2        36         3         2         2         6         8         7        10         8         7         7         9         0         0         9         1         0         2         5         5         2         1
   6002246         2        66         3         3         3         6        10        10         8         8        10         9         8         0         0        10         1         0         5         5         5         1         1
   6002257         2        58         5         2         2         6        10        10        10         7        10        10        10         0         0        10         1         2         5         5         5         1         0
   6002266         2        72         3         3         3         6         8         8         7         5         8         7         7         3         3         9         1         1         5         5         5         1         1
   6002276         2        50         5         3         2         6         0         0         4         2         5        10        10         8         6         8         3         2         5         5         5         5         0
   6002278         2        35         5         3         3         6         5         5        10         9         8         8         8         0         0         5         2         0         2         5         5         2         1
   6002291         2        78         3         3         3         6         5         7         4         7         3         4         7         6         7         8         1         1         5         5         5         5         0
   6002318         2        69         5         3         3         5         5         4         5         3         4         2         5         4         2         9         1         2         5         5         5         5         0
   6002328         2        52         5         2         2         6        10         5         5         7         7         4         4         2         8        10         1         0         5         5         5         5         0
   6002335         2        72         3         3         3         5        10         5         6         6         4         6         6         3         3         7         2         0         5         5         5         5         0
   6002340         2        73         3         3         3         6        10        10        10         8        10        10        10         0         0         8         1         3         5         5         5         5         0
   6002408         2        54         3         3         3         6         0         2         2         4         6         3         3         4         2         8         1         2         5         5         5         1         1
   6002418         2        69         3         3         3         6        10         1         3         6         8        10        10         0         0        10         2         0         5         5         5         5         0
   6002459         2        80         3         3         3         6        10        10        10        10        10        10        10         0         0        10         1         4         5         5         5         5         0
   6002484         2        76         3         3         3         6         9         8         7         8         8         9         8         0         1         9         1         1         5         5         5         5         0
   6002490         2        59         5         3         3         6         9         9         9         9         6         8         8         2         0         8         2         0         5         5         5         5         0
   6002502         2        59         3         2         3         6         9         8         9         8         8         8         8         0         0        10         1         2         3         3         5         2         1
   6002504         2        58         3         3         2         6         8         8         8         8         8         5         5         5         5         9         1         0         5         2         5         1         1
   6002519         2        28         5         2         2         5         7         3         8         7         8         9         9         2         0         9         1         0         3         5         5         3         1
   6002527         2        43         3         3         2         5         5         5         8         8         5         5         5         5         6        10         1         0         5         5         5         1         1
   6002530         2        75         3         3         3         5         8         6         7         8         8         7         7         4         5         8         2         0         5         5         5         5         0
   6002552         2        31         5         2         2         5         9         5        10        10         5         7        10         0         0         9         1         0         1         5         5         1         1
   6002554         2        45         3         3         2         5         5         0         3         5         0         1         2        10        10         8         2         0         5         5         5         2         1
   6002557         2        41         5         2         2         5        10         5         7         8         9        10         8         0         0        10         2         0         5         5         5         5         0
